"Date","species","detected","station","url"
2023-12-31,"Fin whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-31,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-31,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-30,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-30,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-30,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-30,"Humpback whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-29,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-29,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-29,"Right whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-29,"Humpback whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-28,"Sei whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-28,"Fin whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-28,"Right whale",FALSE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
2023-12-28,"Humpback whale",TRUE,"nybnw","http://dcs.whoi.edu/nybnw0723/nybnw0723_nybnw.shtml"
